"trade_time";"daily_open";"daily_close";"daily_high";"daily_low";"daily_return_percentage";"ma_1hour";"ma_12hour";"volume_intensity_percentage"
"2026-07-01 13:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;4025.299167;3986.381458;132.29
"2026-07-01 13:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;4025.0125;3986.680833;157.19
"2026-07-01 13:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;4026.205833;3987.098542;177.08
"2026-07-01 13:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;4027.899167;3987.520972;146.81
"2026-07-01 13:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;4029.459167;3987.994792;204.93
"2026-07-01 13:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;4033.319167;3988.653125;184.59
"2026-07-01 13:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;4039.315833;3989.479306;166.77
"2026-07-01 13:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;4044.616667;3990.250694;179.09
"2026-07-01 13:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;4049.7925;3991.025903;118.02
"2026-07-01 13:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;4055.335833;3991.799444;67.13
"2026-07-01 14:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;4060.588333;3992.567222;106.6
"2026-07-01 14:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;4066.943333;3993.412778;78.79
"2026-07-01 14:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;4072.8975;3994.221667;88.75
"2026-07-01 14:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;4078.765833;3995.015278;82.24
"2026-07-01 14:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;4083.861667;3995.871458;81.66
"2026-07-01 14:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;4088.344167;3996.701667;73.8
"2026-07-01 14:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;4093.6075;3997.6;83.24
"2026-07-01 14:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;4096.565;3998.447153;98.51
"2026-07-01 14:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;4096.158333;3999.210556;82.69
"2026-07-01 14:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;4096.075;3999.953264;80.06
"2026-07-01 14:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;4096.221667;4000.711528;71.28
"2026-07-01 14:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;4096.561667;4001.505347;66.65
"2026-07-01 15:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;4096.911667;4002.252917;84.0
"2026-07-01 15:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;4096.094167;4002.943542;80.85
"2026-07-01 15:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;4095.455;4003.648958;58.2
"2026-07-01 15:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;4094.795833;4004.366111;65.25
"2026-07-01 15:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;4092.818333;4005.050278;72.88
"2026-07-01 15:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;4091.4425;4005.762153;59.79
"2026-07-01 15:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;4088.7;4006.464306;88.7
"2026-07-01 15:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;4086.61;4007.155764;63.11
"2026-07-01 15:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;4085.736667;4007.885417;71.4
"2026-07-01 15:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;4085.316667;4008.622708;60.75
"2026-07-01 15:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;4084.879167;4009.362222;75.77
"2026-07-01 15:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;4083.849167;4010.060625;68.32
"2026-07-01 16:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;4083.498333;4010.820556;85.51
"2026-07-01 16:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;4083.47;4011.574028;85.6
"2026-07-01 16:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;4083.243333;4012.309722;74.86
"2026-07-01 16:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;4083.003333;4013.057778;88.02
"2026-07-01 16:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;4083.076667;4013.787431;72.79
"2026-07-01 16:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;4082.87;4014.508611;68.23
"2026-07-01 16:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;4082.6875;4015.191944;88.85
"2026-07-01 16:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;4082.378333;4015.905;76.97
"2026-07-01 16:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;4081.7225;4016.600764;86.97
"2026-07-01 16:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;4080.836667;4017.251458;98.74
"2026-07-01 16:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;4079.911667;4017.892986;96.91
"2026-07-01 16:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;4079.091667;4018.549861;111.49
"2026-07-01 17:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;4077.9475;4019.231319;119.14
"2026-07-01 17:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;4076.695833;4019.897014;93.35
"2026-07-01 17:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;4075.7625;4020.587361;99.18
